sourceRow,brand,itemName,category,status,condition,authentication,purchasePrice,listingPrice,salePrice,listingPlatforms,expectedPlatform,targetProfit,shippingCosts,buyerPaidShipping,notes,importIssues
2,Bottega Veneta,Intrecciato Leather Compact Zippy Wallet,Wallet,Purchased,Excellent,Not authenticated,47.38,,,,,25,0,0,Imported from AVE inventory document. Listing price blank means the item has not been listed yet.,
3,Bottega Veneta,Purple Long Wallet,Wallet,Listed,Excellent,Not authenticated,138.58,,,"Poshmark, eBay",Poshmark,25,0,0,Imported from AVE inventory document. Listing price blank means the item has not been listed yet.,
4,Burberry,Black Canvas Pochette,Handbag,Purchased,Excellent,COA included,0.0,,,,,25,0,0,Imported from AVE inventory document. Purchase price of $0 means the item was acquired for free. Certificate of Authenticity included. Listing price blank means the item has not been listed yet.,
5,Burberry,Black House Check Crossbody Bag,Handbag,Purchased,Excellent,COA included,149.31,,,,,25,0,0,Imported from AVE inventory document. Certificate of Authenticity included. Listing price blank means the item has not been listed yet.,
6,Burberry,Leather Tote,Handbag,Purchased,Excellent,Not authenticated,96.76,,,,,25,0,0,Imported from AVE inventory document. Listing price blank means the item has not been listed yet.,
7,Chanel,Black Coco Mark Button Long Wallet,Wallet,Purchased,Excellent,COA included,167.5,,,,,25,0,0,Imported from AVE inventory document. Certificate of Authenticity included. Listing price blank means the item has not been listed yet.,
8,Chanel,Sunnies,Accessory,Listed,Excellent,COA included,164.09,325.0,,"Poshmark, eBay",Poshmark,25,0,0,Imported from AVE inventory document. Certificate of Authenticity included.,
9,Chanel,Vintage Postage Stamp Scarf,Accessory,Listed,Excellent,COA included,271.86,495.0,,"Poshmark, eBay",Poshmark,25,0,0,Imported from AVE inventory document. Certificate of Authenticity included.,
10,Dunhill,Patterned Unisex Crossbody Bag,Handbag,Listed,Excellent,Not authenticated,63.51,125.0,,"Poshmark, eBay",Poshmark,25,0,0,Imported from AVE inventory document.,
11,Fendi,Zucca Canvas Tote Bag,Handbag,Purchased,Excellent,Not authenticated,453.26,,,,,25,0,0,Imported from AVE inventory document. Listing price blank means the item has not been listed yet.,
12,Hermes,Herline Tote GM,Handbag,Purchased,Excellent,COA included,129.31,,,,,25,0,0,Imported from AVE inventory document. Certificate of Authenticity included. Listing price blank means the item has not been listed yet.,
13,Hermes,Pink Cotton Bolide Pouch 16,Handbag,Purchased,Excellent,COA included,121.76,,,,,25,0,0,Imported from AVE inventory document. Certificate of Authenticity included. Listing price blank means the item has not been listed yet.,
14,Jimmy Choo,Pink Leather Tri-fold Wallet,Wallet,Listed,Excellent,COA included,51.71,150.0,,"Poshmark, eBay",Poshmark,25,0,0,Imported from AVE inventory document. Certificate of Authenticity included.,
15,Kate Spade,Mavis Street Zip Wallet,Wallet,Listed,Excellent,Not authenticated,0.0,,,"Poshmark, eBay",Poshmark,25,0,0,Imported from AVE inventory document. Purchase price of $0 means the item was acquired for free. Listing price blank means the item has not been listed yet.,"Multiple numbers appear in Listing Price: [35.0, 42.0]. Need to confirm which is listing price and whether one is sale price."
16,Kate Spade,New York Pebbled Leather Crossbody Bag,Handbag,Listed,Excellent,Not authenticated,0.0,10.0,,"Poshmark, eBay",Poshmark,25,0,0,Imported from AVE inventory document. Purchase price of $0 means the item was acquired for free.,
17,Kate Spade,Rosegold Crossbody,Handbag,Listed,Excellent,Not authenticated,0.0,15.0,,"Poshmark, eBay",Poshmark,25,0,0,Imported from AVE inventory document. Purchase price of $0 means the item was acquired for free.,
18,Kate Spade,x Target Beaded Clutch,Handbag,Listed,Excellent,Not authenticated,30.0,13.0,,,,25,0,0,Imported from AVE inventory document.,
19,Loewe,Calf Hair Leopard Pouch,Handbag,Purchased,Excellent,COA included,231.41,,,,,25,0,0,Imported from AVE inventory document. Certificate of Authenticity included. Listing price blank means the item has not been listed yet.,
20,Loewe,Green Patent Leather Crossbody Bag,Handbag,Purchased,Excellent,Not authenticated,93.54,,,,,25,0,0,Imported from AVE inventory document. Listing price blank means the item has not been listed yet.,
21,Louis Vuitton,Clutch,Handbag,Purchased,Excellent,COA included,209.81,,,,,25,0,0,Imported from AVE inventory document. Certificate of Authenticity included. Listing price blank means the item has not been listed yet.,
22,Louis Vuitton,Monogram Elise Wallet,Wallet,Purchased,Excellent,COA included,66.87,,,,,25,0,0,Imported from AVE inventory document. Certificate of Authenticity included. Listing price blank means the item has not been listed yet.,
23,Louis Vuitton,Monogram Long Wallet,Wallet,Purchased,Excellent,COA included,59.75,,,,,25,0,0,Imported from AVE inventory document. Certificate of Authenticity included. Listing price blank means the item has not been listed yet.,
24,Michael Kors,Brooklyn Grommet Leather Clutch,Handbag,Listed,Excellent,Not authenticated,0.0,,,"Poshmark, eBay",Poshmark,25,0,0,Imported from AVE inventory document. Purchase price of $0 means the item was acquired for free. Listing price blank means the item has not been listed yet.,"Multiple numbers appear in Listing Price: [30.0, 35.0]. Need to confirm which is listing price and whether one is sale price."
25,Prada,Bicolor Calf Skin Tote,Handbag,Listed,Excellent,COA included,243.57,485.0,,"Poshmark, eBay",Poshmark,25,0,0,Imported from AVE inventory document. Certificate of Authenticity included.,
26,Prada,Saffiano Metal Snap Compact Wallet,Wallet,Purchased,Excellent,COA included,132.61,,,,,25,0,0,Imported from AVE inventory document. Certificate of Authenticity included. Listing price blank means the item has not been listed yet.,COA cell contains a stray separator; interpreted as Yes.
27,TOMS,Hailey Booties,Shoes,Listed,Excellent,Not authenticated,85.0,,,"Poshmark, eBay",Poshmark,25,0,0,Imported from AVE inventory document. Listing price blank means the item has not been listed yet.,"Multiple numbers appear in Listing Price: [65.0, 55.0]. Need to confirm which is listing price and whether one is sale price."
28,Valentino,Brown Leather Second Bag/Clutch,Handbag,Purchased,Excellent,COA included,0.0,,,,,25,0,0,Imported from AVE inventory document. Purchase price of $0 means the item was acquired for free. Certificate of Authenticity included. Listing price blank means the item has not been listed yet.,COA cell contains a stray separator; interpreted as Yes.
29,Valentino,2-Way Canvas Bag,Handbag,Purchased,Excellent,Not authenticated,0.0,,,,,25,0,0,Imported from AVE inventory document. Purchase price of $0 means the item was acquired for free. Listing price blank means the item has not been listed yet.,
